"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Jare saiki wes isok klaim perbaikan motor mbak nak SPBU. Tapi koen eruh salah siji syarate? Melampirkan struk. 🤣🤣 Sejak kapan tuku bensin entuk struk? Ket jaman elek yo ga pernah dikei struk. Nek wayahe njaluk yo alesane opo bolo?? Coba ke'i contoh alesane petugase opo ae... 👇","1292","82","2025-10-31T12:53:25.000Z","ellenputrim","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6840822370720367618","7567368157059367688","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7039de3d0b710068c5950d784b4cedb2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b214d7cd&x-expires=1762776000&x-signature=cwkccMgvYUV5%2F7wl%2BafdJ6sJ9E4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"ngene kok jare onok berita jatim aman LAH IKI BUKTIE??!!","11","0","2025-10-31T10:52:47.000Z","itzznunaa","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6856233620983546882","7567337053173859090","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/c2aeda1783ab193aa65a974e0301170b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6946d58b&x-expires=1762776000&x-signature=PnhnMhhmYdZxDbYsTTYKEhMiQhA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Bahlil menanggung DOSA semua masyarakat yg isi bensin di Pertamina 🗿","36","0","2025-11-01T02:46:54.000Z","yasudalahck_","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7047028317342123034","7567582892501025556","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0e333491a072a73c2d814de300f78388~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dcc4c6b3&x-expires=1762776000&x-signature=Nvf%2BShWFi5PLr1IBTo5LMpjbwe4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"pegawai Pertamina gaji AKEH...Podo dzolim Kabeh... Mentri ne Podo...g ikhlas,g ridho....kita sama2 tuntut di akhirat..Krn hukum dunia sangat lemah","5","0","2025-11-02T03:06:21.000Z","angelicawijayant4","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7074444314961527809","7567959010881913621","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7996cc814fbab9ff31c46649ab8ece17~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=49825edb&x-expires=1762776000&x-signature=QD9digcJIexNbgMwUiAFkqeswWQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"WNI melbu surgo kabeh iki😌","316","8","2025-10-31T14:37:55.000Z","1tsmeaull_","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6959466967951819777","7567395074733392657","https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8ecf95a9&x-expires=1762776000&x-signature=t%2BxJcst4ai%2FUqw2rRkgBl5ouom0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Alhamdulillah motorku aman gawe pertamax…motor genio","0","0","2025-11-03T00:13:23.000Z","biaswr20","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6960840497166320642","7568285446272746260","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/dd722341bf54fa53635b0bb02c7dd9ea~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1bd2e13b&x-expires=1762776000&x-signature=yFUFzUq1M0G%2BmVeA7yYaK3kkHHo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"mewakili curahan hati para warga brebet se Indonesia😂","254","1","2025-10-31T07:45:18.000Z","amirudin.ashar","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7289953959983727621","7567288739233612562","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/d99b484a904eeef51efb6a364ce92875~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=46dde355&x-expires=1762776000&x-signature=gm0eycTYWJPvuBroAPR5RzozG4o%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"minimal klo monopoli pasar produknya bagus 😭😭","103","2","2025-10-31T23:00:53.000Z","naya.kin","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6894858444785533953","7567524659408274184","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/397dfbdec3c2bbde942031b1cd7ccb82~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4fd2f163&x-expires=1762776000&x-signature=bIM%2F5s7x40W%2BToc6vBgj4bvR5ss%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"yaallah urip ning konoha enek wae cobaane, dzolim iki pemerintahe😭😭","18","0","2025-11-01T00:19:37.000Z","gemintangungu2000","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6789564100109698050","7567544937047540487","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/494a0361ef1e33f59775e6530dc158f4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=345fd132&x-expires=1762776000&x-signature=uKY4SX30W4RSWg2L6Dm1%2BQmxiyU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Wis viral ....Wis di lapori.... Pertamina e anteng ae koyok ngak onok opo2 😁😂🤣....awak 2","11","1","2025-11-01T12:57:46.000Z","suryaoe19","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6683963031598531586","7567740366675231496","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/eee11148f7248b73392f82ba66f3cff7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=fc55fa54&x-expires=1762776000&x-signature=g57iepg5qS5cXQ7PMQe%2BpE1TI2w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"jangankan sing pertalite, aku sing ngisi pertamax lakok budal nang bengkel, padahal sebelume ngisi shell baik2 aja lakok diisi si merah brebet gaiso dinyalakno jare mas e karena bahan bakar e yo elek","12","1","2025-10-31T10:07:54.000Z","peekabooyaay","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6860343772719891458","7567325495370810119","https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/26bc0fd7bd23f040ce86c7ba98622599~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2df373d6&x-expires=1762776000&x-signature=6PKSAa3VUK6JypxDVQUlQDl3tTE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"trus sing bener kudu isi bensin opo guyss?? pliss mene wayah e tuku bensin soale","933","87","2025-10-31T10:59:56.000Z","onlygoatknow","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7208099694097138689","7567338903276356370","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/4eaaf112f6a3af7ce53ca0aa48814a03~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6d2457d5&x-expires=1762776000&x-signature=y1ftza%2B122mwxteB79N2%2By0IIgk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"yg motornya karbulator rpmnya jadi ga stabil. alhasil berangkat kuliah pas di lampu merah jalanan merr mati dongg mesinnya💀. bayangin di bel orang"" di belakang aku ga kira"" ngebelnya","62","5","2025-10-31T06:23:23.000Z","cumaten","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7266091734651585542","7567267616223838997","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/137531e8ac192b749eecc6034187dd23~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5c0df51a&x-expires=1762776000&x-signature=GIJ6xt41xg9xozd9fEYQOmBHZjs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"pertamina sekarang lagi budek mbak. kebanyakan untung","7","0","2025-11-01T01:02:45.000Z","sugengwahyudiarto4","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7242205698490106881","7567556035179889424","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7243008808296022022~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=61689275&x-expires=1762776000&x-signature=nz8pgQcM2v9n68kyLB%2FgUCd1qtI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"indonesia gaada semacam hukuman yang bikin beneran takut/mengekang membahayakan nyawa koruptor ya wajar makin², itu lagi abisin kekayaan indo sebelum periode abis, pinter si, selagi uu perampasan aset atau hukuman mati gaada ya bakal gini terus sampe ratusan tahun kedepan","5","1","2025-11-01T06:09:27.000Z","wafer_tang01","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6479588818298078220","7567635147487478536","https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-aiso/3b7839432d48895a41138aa0ff4947e5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b6bd4e3c&x-expires=1762776000&x-signature=QyW0kfRWtm2o%2Bg9HotZwQXF2oDw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"mbaa aku vario yo ngisi pertamax terus, tp belakangan brebet brebet ancene bahlil bahlul","34","1","2025-10-31T13:02:03.000Z","bloomingf","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6825218988914639873","7567370360821400340","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/5b4e0fb1d4a25d748ab9bc6d303208de~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=525cc344&x-expires=1762776000&x-signature=KWOisyTip%2BGs4KHfcWAeERpuRiQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Prabowo kok diem aja?","35","10","2025-10-31T13:37:55.000Z","purwantidarmin67","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7245960748240913414","7567379626633839367","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7330264418686599173~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a29ec8d3&x-expires=1762776000&x-signature=E6MREFMd8r2zSkPXkuKqDy7VtWI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"menyebalkan🗿","25","2","2025-10-31T04:06:37.000Z","rymee.mot","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7461398535540655105","7567232359189545735","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e3aab54edd6c255b3b64b190bcf78387~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4d27a344&x-expires=1762776000&x-signature=nTe%2Fyxn3vfsOP9Z2kOePPTbY03w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"review dari aku yg motornya kebagian brebet hari ini :
- isi bensin hari minggu tgl 26, isi pertalite full (motorku pcx)
- senin sampe kamis pagi buat kerja masih oke
- kamis sore mulai kerasa gas nya tbtb turun sendiri (strip bensin masih sisa 4)
- jumat pagi buat kerja masih aman dikit, tp gas motor bolak balik turun
- damnnn, jumat sore makin parah. kecepatan 20 normal, 30 keatas udah kek motor keabisan bensin😫😫","283","82","2025-10-31T12:21:43.000Z","_yangyangg0","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6784404705651000322","7567359997097542407","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/8f69ab22821ce660a2b45cfc61a91340~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d626b19a&x-expires=1762776000&x-signature=2CDTE8ZfigTXIh%2FooOP4muklUsI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"yg pasti pasti aja","0","2","2025-11-06T07:27:52.000Z","olaflee_","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7005307938899788801","7569510748671771400","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3e1d75f4f003a92c94353e01d8a84eb7~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=98135a32&x-expires=1762776000&x-signature=aeoBAUANWu1b34RtNBkIRvM3LnE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"untuk sementara aku tuku bensin eceran sek😭","83","37","2025-10-31T13:50:32.000Z","_____halima8","https://www.tiktok.com/@gilchsa/video/7567227706992086290","311043083461181440","7567382876536128264","https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/c581a0460d49d7e0df41927df9112725~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=77de30cd&x-expires=1762776000&x-signature=tiqU6fw82HspR1%2BLlkUZYqv1PUE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"salam satu keropos🤣","1","4","2025-11-03T12:46:39.000Z","jackal9327","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7438498242533344257","7568479678256857874","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7bf9f2733946e3e16757629f1c62f549~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=efcf8f4f&x-expires=1762776000&x-signature=tBzKOm695uhRuv9NxjvY94x6VIU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"kenapa kebanyakan yg troble honda?","4","46","2025-11-01T12:42:24.000Z","cish056","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6959232226363065345","7567736396728107797","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a7cf4f9b9a1b0df28a4cff31ed162eb9~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=c81231b8&x-expires=1762776000&x-signature=CLrzSN5UokMh%2Bm3LQlZRk%2BPjjsc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"aku pake pertamax turbo🙏🏻","1","8","2025-11-02T17:31:19.000Z","liadianita_","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6702850647661216769","7568181938026103560","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/aa706f3e29cfce55d5403121fe9936b8~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=d93ba318&x-expires=1762776000&x-signature=VhKM9s2DATz62M9TGirxiyB4mZY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"anjir aku baru isi pertamax turbo motor vario lawas smoga amaaan😭😭😭","22","25","2025-10-31T13:13:47.000Z","ifaoktaaa","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7330931375052358674","7567373403150467860","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/9c973f366b787b1259af57dae07d6e86~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=b9c6ab1e&x-expires=1762776000&x-signature=5qnCgHKjsQTuQCQKTSLtglzzWn0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"kejadian kapan?","1","10","2025-11-01T01:46:18.000Z","dichaazka","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6562821133707919362","7567567310405075730","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7333672591430778887~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=474eae65&x-expires=1762776000&x-signature=F1kSGJSLC%2F5Ub2bVDL2d3g9SUGw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"semangat rin....","1","1","2025-10-31T12:28:05.000Z","byrizea","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7274632528085074950","7567361619925517064","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5ffe666f9af0f2f106308b5a4a19a1a0~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=24858b9e&x-expires=1762776000&x-signature=5mxJDW48XhSXpcxUMIjfO779ukw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Vario 110cc ku terpantau aman 🙈🙈 .. ini harus ku lanjut pertalite apa ganti apa ini","2","9","2025-10-31T10:30:40.000Z","mutmainahiin551","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7044747060054770690","7567331368695284501","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/27bc4f47b00a5ffc78d07733c04403d9~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=3caa5233&x-expires=1762776000&x-signature=wSDn1YYD4Hrrehl2ucL%2F93KLBwA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"pertamina ganti rugi gak yaa
misal bbm gratis 5th gitu","0","1","2025-11-04T16:57:36.000Z","aminah_indri","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7432494874936493064","7568915389553492757","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0caa78aa024a590e27d6d996f38bb32e~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=e8301a00&x-expires=1762776000&x-signature=vwLcXKE4WHYrkBfFTIQVJ%2B7YEGY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"ngisi nk pom ndi mbk","2","9","2025-10-31T07:48:42.000Z","_aisybear","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6539795127089528833","7567289619244679944","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8fe652fe681aad0ad5886a3a4e54ef25~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=5cb3f534&x-expires=1762776000&x-signature=j3ra1NktKqwVZ5PGUUYGI%2FKkWk8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"pegawai Pertamina nerimo gaji tok, wayah ruwet ngene bisu Kabeh pret","1917","35","2025-10-31T12:06:34.000Z","saranal63","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7471415721953477640","7567356056584110869","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/450a7833b190dd41dda25b6a57c80aeb~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=b5c99e2d&x-expires=1762776000&x-signature=HTomX29SSnK8PcH4DBGUhC0b8mY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"daerah ndi mbk?","1","4","2025-10-31T09:00:42.000Z","fty279","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6963191856108766210","7567308169598108436","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f03bce71b0bb3c668f7fda38f636c023~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=fd6de6fc&x-expires=1762776000&x-signature=%2FG%2B4GT6AcI7GC57k8zAmm3OVqCk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"enak e isi opo rek.. seriuss","3","8","2025-11-01T15:12:52.000Z","melisapuspita__","https://www.tiktok.com/@gilchsa/video/7567227706992086290","7037239323574010881","7567775167607620369","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f48d26aa6c8d64aa574771ba996c83a2~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=1e993c21&x-expires=1762776000&x-signature=E%2BB77nLef6ZSHVkAsFRR7PTGZA4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"di ISO es teh","1","2","2025-11-01T01:06:51.000Z","anannnnna1","https://www.tiktok.com/@gilchsa/video/7567227706992086290","6704938724469376001","7567557134771749639","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f01336fbe9143fb048f917c849211ea3~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=e6a6b4a9&x-expires=1762776000&x-signature=LS3ha5FMq8Wo1OrpXs04DeA5zAc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"brebet brebet , tengah dalan moro² mati bahlil mbokneambleg ancenn","365","18","2025-10-31T07:05:54.000Z","octavsn","https://www.tiktok.com/@gilchsa/video/7567227706992086290","122304494876385280","7567278554536608529","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7c47633338bbc7137d88cc5f698b8fe3~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=270daaac&x-expires=1762776000&x-signature=Um0XBYS89EyxfORlgj5ntW4mDps%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
