text_clean_joined,date,sentiment_gemini
mbak sama bgt aku ganti pakek indomobil karena di kota ku ada cuma itu dan losss bgt ga rewel udah tapi belum itu ke bengkel dulu ya kak kuras pertalite nya trus bawa bahan bakar selain yg dari pertamina ke bengkel biar langsung isi soal punya ku abis dari bengkel sini pertalite lagi nyata sama aja brebet meski ga parah yg pertama,2025-10-31,negatif
beat street punya suami jg brebet abis beli bensin di apbu arjuno,2025-10-31,negatif
gua save vidionyabiar bisa tembus ke lidi,2025-11-03,netral
kata kata andal busi itu,2025-11-04,netral
rakyat terzolimin bgt ini bahlil dan jajar yg bikin bijak bbm di oplos etanol moga azab dunia akhirat buat kalian,2025-11-03,negatif
kerja bahlil murid mulyono agar rakyat pindah ke motor listrik yg kaya usah baterai opung dan mulyonoi,2025-11-01,negatif
winginane onok sing komen jare bojone meh tabrak truk goro goro macet nde tengah dal ancene pertamina dlogokkkkk,2025-11-03,negatif
yaampun kasi bgt sampe gajadi kuliahbayangkan kl motor buat nyari nafkah,2025-11-01,negatif
pokoke sheell bukaen onokno bbm e perintah ikiloh duuhhhh,2025-11-02,negatif
gin kak maksud ini motor aku tap aku bawa ke bengkel habis rb pdhl gaji bulan ga berapa,2025-11-04,negatif
dibahlulkan oleh negara,2025-11-01,negatif
usaha monopoli kok rugi arti yg kelola banyak korup,2025-11-01,negatif
percuma ada uu lindung konsumen soal gk laku buat pertamina krna pertamina kualitas baik,2025-11-01,negatif
indonesia itu adaada aja ndak kasihan rakyat,2025-11-03,negatif
pertamina gin ini ngaku rugi mulu,2025-11-01,negatif
otw pertamax terus,2025-10-31,negatif
bekas udah bagi brebetnya,2025-11-01,negatif
kira salah siapa yaa,2025-10-31,netral
kapan indo normal ya allah,2025-10-31,negatif
bahlil rencana bengkel banyak langgan dan akhir ekonomi maju benar bahlil itu pahlawan di balik hytam,2025-10-31,negatif
motor gw sama,2025-11-04,negatif
kalo pertamax gmn,2025-11-02,netral
kenapa rata rata motor honda ya,2025-11-06,netral
gua baru aja ngalamin,2025-11-03,negatif
jatim ini emg problematik ya,2025-11-02,negatif
motor gua udh nggk bisa pertalite skrng,2025-11-02,negatif
aku juga kena btw cwo hyper,2025-10-31,negatif
motor gw juga kena anjj,2025-10-31,negatif
pertamax juga sama bnag,2025-11-06,negatif
selain dipertamina kita bisa beli bensin dmna ya,2025-11-03,netral
motor w abis jatoh kmren rusak dan mesin nya emg ada yg salah trus w servis abis k normal dah minggu abis tu kok brebet w bingung apa prasaan w aja hari pikir bom sempet bengkel juga apa jangan gegara pertalite ya jir soal minggu abis service udh enak bat pdhl moto jdi takut lokasi mojokerto jatim,2025-10-31,negatif
gw kira motor doang,2025-11-08,negatif
pertamax juga woi vario gua brebet,2025-11-02,negatif
ini laku,2025-11-03,netral
habis jadi ini pikir mulai cari harga motor listrik,2025-10-31,netral
bukan salah pom mereka hanya menjualkebijakan oleh tri bilang pakai etanol,2025-11-01,netral
akan rumah bahlil jadi rumah sahroni part,2025-11-01,negatif
pantes isi bbm ga boleh pake botol takut tau,2025-11-01,negatif
laku lagi libur,2025-11-01,negatif
pk presiden tolong segra copot bahlil,2025-11-01,negatif
step by step wd jt bilek,2025-11-01,netral
cung yg motor brebet,2025-11-02,negatif
ini ada yg kudeta arti mafia migas lagi atur rencana jatuh perintah,2025-10-31,negatif
pak prabowo ayo copot pak bahlil masa masih dipertahanindenger keluh rakyat pak mohon pak prabowo,2025-11-02,negatif
pertamina kalo sudah tidak mampu kasih kualitas mending ttup aja biar shell bp vivo dan kawan yg ambil alihangry,2025-11-02,negatif
bawa rumah dirut pertamina dan bahlil,2025-11-01,negatif
tangkap si bahlil,2025-11-01,negatif
bahlil b nya itu apa,2025-11-03,netral
cabut aja izin usaha pertamina yg nakal kasi denda,2025-11-01,negatif
kerja si bahlil itu,2025-11-01,netral
pantas motor ku brebet trus bakar nya gak bagus kasi kami yg uda gak punyak apa apa kadang beli bensin aja pun susah kalau motor kami rusak bagai mana kami kerja dan beraktipitas tolong kasihan kmi orng orang yg di bawah ini oleh orang orang yg rakus akn uang,2025-11-03,negatif
mangkanya banyak mobil dan motor pada mogok dan rusak,2025-11-02,negatif
trus gmna solusi jangan hanya sidak aja apak ini motor uda pada ngadat,2025-11-01,negatif
rezeki gw hari ini habis cair jt,2025-11-01,positif
motor temen gw rebet karna ulah bahlil,2025-11-03,negatif
bahlil ohh bahlihmerusak rakyat,2025-11-01,negatif
saat ganti pak menterinyagak beres,2025-11-01,negatif
usut tuntas papenjarakan penljabat yg saran campur dgn etanol,2025-11-01,negatif
iya motor hbs di isi pertalite mlh ngeden di gas berat bgt,2025-11-02,negatif
bensin sudah oplos harus lapor tahun pertamina untung gede ya tp heran koq masih rugi trilyunan mirissssss,2025-11-01,negatif
jgn salah spbu salah kan yg buat bijak,2025-11-01,negatif
bahlil b nya apa,2025-11-03,netral
sepeda sy juga brebet korban pertalite pom bensin dinding br kmrn ke bengkel sih injektor sm ganti busi isi pertalite persis ituada air mending beli ecer botol lgsg lihat kl mmg bensin oplos,2025-11-01,negatif
bahlil bahli,2025-11-02,netral
curiga satu komplot bahlil sama tukang bengkel,2025-11-02,negatif
untung saya gak pakai motor,2025-11-02,positif
gara bahlil tok kok,2025-11-01,negatif
aampun dech kapan ya indonesia normal aja,2025-11-02,negatif
tukang bengkelgacor kang,2025-11-01,positif
pertamina harus tanggung jawab,2025-11-01,negatif
bnr anjir rusak motor cowo gua,2025-11-02,negatif
tukang bengkel cuan nihhhh,2025-10-31,positif
dan kebnyakan dari motor matic merk honda,2025-11-03,netral
bang bahas bobibos karya ank bangsa yg potensi saing pertamina,2025-11-04,positif
motor fu gw rongsok bagus ja minus pertalite,2025-11-03,negatif
iyaa njr gua pertalite terus masa gas nya renti,2025-11-03,negatif
klo gw beli pertamax malah ngebrebet,2025-10-31,negatif
saya pake pertamax juga sprti itu jadi bukan hanya pertalite,2025-10-31,negatif
rb layang,2025-11-08,netral
air stengah sendiri,2025-11-03,negatif
motor gua kena,2025-11-07,negatif
kacau,2025-10-31,negatif
mending beli bensin ecer bang lebih bagus liat bensin nya,2025-11-01,positif
turbo kena juga,2025-11-07,negatif
pantesan pertamax gua rame,2025-11-03,positif
mabok pertaliteetanol,2025-11-01,negatif
hari ini habis hampir rb buat baik motor pcx karna masalah bensin pertalite,2025-11-02,negatif
ih aku ga punya motor tp dipinjemin supra yg lawas pol dr kantor suami tak buat anter jemput anak skolah td nya aman bgt motor g rewel blass tp beberapa minggu yg lalu aku isi full pertalite trs mbrebet aku cuma sungkan sm orang kantor masa tak pinjem trus rusak kan ga lucu ya huhuhu,2025-11-02,negatif
kenapa perintah diam saja tanpa statemen dan tindak apa memang mau bikin gaduh rakyat,2025-11-06,negatif
spedaku mek ganti mbek bjoku dipakek kerja aku dan suamikumakeknya ganti kok malah bnyak mslah mtor gin plis mtor cuman jngan sampai jdi slah korban juga,2025-11-04,negatif
motor gue udah abis k tetep aja brebet padahal full ganti sistem injeksi semua hadehh,2025-11-01,negatif
jare pertamina seng salah busi mu mbak tuntuten wae,2025-11-03,negatif
hahaha kalian yang rugi saya yang kaya,2025-11-01,negatif
sakjane subsidi iku gawe opo lek kualitas pertamina nyusahno luweh apik konsumen ben milih bensin tanpa subsidi atau bensin subsidi,2025-11-02,negatif
bagus semua korban pertamina ngajuin gugat ke adil tuntut yg gede mau sampai kapan kita kasih bbm busuuk terusterusan,2025-11-01,negatif
podo mbak bedane motor varioku jik iso mlaku tapi suorone maleh kemrotok ape ndandakne jik akeh butuhe laine iki saiki penting motor iso mlaku,2025-11-01,negatif
aku td pagi juga habis servis gara gara korban pertalite dan asal kalian tau semua motor belah belah itu semua kasus sama,2025-11-04,negatif
shell kapan kamu jual bensin lagi,2025-10-31,negatif
yg mau sekolah jd g sekolah mau kerja jd lambat kerja minggu biasa gaji fuull kurang karna potong satu kata buat pertaminajiancoooooook,2025-11-05,negatif
ini semua ulah bahenol kanpreet,2025-11-01,negatif
pertamina kualitas jelek make merk laen bahan baku sulit,2025-11-01,negatif
pertamina anjj,2025-11-01,negatif
ngisi pertamax full tank brebet juga mbaa,2025-11-01,negatif
yang harus tanggung jawab bukan pertamina tapi pak bahlil kan dia yang nyuruh pertalite sama pertamax di campur etanol kata bagus nyata di lapang bagaimana,2025-11-01,negatif
ayo rin semangatt mbatin rini matane loh cog pikir gampang nyetut peda jajal ganti sing nyetut piye,2025-11-01,negatif
gaji jabat milliaran tapi layan zonk selamat ada di negara konoha,2025-11-01,negatif
kepingin untung gede pertamina korbane konsumen men,2025-11-02,negatif
kata si bahlil bengkel motor biar pd laris tuh yg gue heran bensin di oplos pun pertamina masih rugi mulu apa rakyat harus pakai air y baru untung tu pertamina,2025-11-01,negatif
beat skrg bukan uda harus pake pertamax ya coba cek di stnk nya ka,2025-11-01,netral
wkwk panen duso opo pahala nek ngene iki wong pertamina dan petinggi e,2025-10-31,negatif
kak aku rencana mau beli motor akhir tahun nanti tapi gegara banyak brita bobrok pertamina jadi mikir lagi mau beli,2025-10-31,negatif
hayolooo takut banget ga sih kalo pas dipake motor malem sendiri mana cewe lagiii terus mati tengah jalan,2025-10-31,negatif
mbak ihh sama aku jg kmrn brebet dan mati pdhl nmaxku baik aja mana mati kali tengah bunderan sier,2025-10-31,negatif
baru td malem ngisi pertamax scoopy ku brebet parahhh,2025-11-02,negatif
betul pertamina suruh tanggung jawab jangan minta maaf aja terus biaya kerusakaan siapa yg nanggung kalau sudah begini,2025-11-01,negatif
podo ae kabeh pak laa mosok ben aku ngisi nde pom mesti brebet mung wedi ku mati nde tengah dal pas rame lak sido kenek karo seng bur bos,2025-11-01,negatif
kami punya spbu di kab malang jl raya bululawang no spbu dan spbu di jl raya bakal no spbu tiap datang di ukur kandung air tdk lihat kandung etanol sampek hari tgl nop tdk ada keluh konsumen pertalite mau pertamax dan pas ukurane selamat isi di spbu kami,2025-11-01,positif
ini pertalite atau air lumpur pantes bikin motor brebet,2025-11-06,negatif
awal si bapak ngisi bensin abs ngisi bensin motor brebet dan mogok akhir penasaran bisa mogok dari apa dan karena penasaran di bapak pindah bensin yg ada di motor ke dalam botol aqua info begitu,2025-11-01,negatif
padahal untung udah banyak masih mau di campur campur,2025-11-03,negatif
ini akan jadi akal kembali untuk menghapur pertalite untuk pindah ke pertamax semua biar lebih bnyk untung seperti yg dulu bensin hapus,2025-11-07,negatif
bahlilnya pak kasi kerja cuma ngejalanin tugass bahlilnya aja yang di duel in pak,2025-11-04,netral
saya juga kena salah pas motor brebet saya lagi jalan ke diri pas di pujon motor brebet alhasil suami saya jejek sampai ke diri iya kalau brebet deket sama bengkel kalau jadi seperti saya di pujon pas di alas itu gaada bengkel sama sekali yaallah yaallah,2025-11-03,negatif
gw isi pertamax juga brebeettt anjir akhir gw iso pertamax turbo lumayan ga brebet tapi ga tau lg deh mesin gw apakabar kalo isi turbo trs,2025-11-04,negatif
cung user pertamax brebetboros,2025-11-03,negatif
mana mana banyak kenapa ya klo isi bbm di spbu atas nama pertamina semua dan kenapa ya tiap kali isiin bbm di spbu kenang angin nya ketimbang ngisi bbm nya ya,2025-11-01,negatif
vidio cctv pertamina ada tu di atas,2025-11-02,netral
pokok nya pertamina udh rusak semua dicampor dikurangikita ngisi lter hanya yg di isi aja,2025-11-03,negatif
aq beli motor barusetelah di isi di spbu skrg mbrebet gk bs jln,2025-11-03,negatif
mingkin kacau aja ini pom harus lebih leliti sekarang mah bany gk jujur pom nya sekarang mah,2025-11-03,negatif
bahlil di miskroscop,2025-11-07,netral
cek aja cctv spbu pas bapak ngisi kmarin sore,2025-10-31,netral
lama ini pertamax daerah sini masih aman sharing dong yang pake pertamax udah ada masalah apa belum takut bjirr,2025-10-31,negatif
oalah kelen pada sibuk pertamina datau yang salah tu busi nya,2025-11-07,netral
parahhh sih pertamina jangan lah kayak gitu sama rakyat kami bagai konsumen kecewa berat sih,2025-10-31,negatif
cabut perijinan spbu nya,2025-11-01,negatif
pantesan motor brebet di starter g bisa padahal baru di servis,2025-11-01,negatif
beli byd aja ama saya ga isi bensin lagi,2025-10-31,netral
pak presiden ayo maen sosmed biar taw keluh kesah rakyat,2025-11-01,netral
sepdaku brebet pak niat tuku bensin mlah ngerusak sepeda,2025-11-02,negatif
saya memang tidak tuju dengan ada campur etanol tetapi lihat jadi ini seperti rekayasa mohon maaf atas pikir negatif saya,2025-11-01,negatif
ini tuju biar masyarakan pindah ke pertamax krn dlu q sdh dengar dri orang pertamina klo pertalite bklan g da,2025-11-01,netral
pantesan beli di botol gak boleh,2025-11-03,negatif
biar pada beli yg mode listrik,2025-10-31,netral
aduh kembali shell dn bp,2025-11-01,negatif
masak presiden gak liat gin cuman diam,2025-11-01,negatif
ide bensin campur etanol ini utk mati spbu,2025-11-01,negatif
asli etanol tuh amanaman aja tapi bensin kualitas kita itu masih belum standar internasional thailand dan amerika juga pakek etanol tapi amanama,2025-11-03,negatif
sidaknya bensin yg dr mesin ambil terus di test langsung pak,2025-11-01,netral
sudah satu hari bilah kok masij mau ngisi lagi itu yg baju putih kok ngotot lihat rekam cctv,2025-10-31,negatif
tapi beli ecer kok nggak ada campur bisa lihat botol,2025-11-01,netral
kerjo sampek telat sepda berebeetttt,2025-11-04,negatif
di bojonegoro motor podo mogok,2025-11-03,negatif
parah sih korban bnyk banget,2025-11-03,negatif
tim bensin warung madura nyimak,2025-10-31,netral
hari ini saya rasa motor brebet padahal isi pertamax akhir dorong motor pada saat hujan,2025-11-07,negatif
yaallah bang jnganan pertalite turbo aja motor gw mati waktu malem mana kaga ada yg buka,2025-11-03,negatif
tangkap riza chalid,2025-11-04,negatif
gua udh jadi korban vario gen pdhal,2025-10-31,negatif
dan cara tiba tiba besok ada berita begini bahlul duga korupsi besar xx triliun,2025-10-31,negatif
babahlil,2025-11-01,negatif
ganti presiden,2025-11-05,negatif
pantes motor gw sering kayak gitu,2025-10-31,negatif
pantau pak prayogo sdh meng akuisisi spbu swasta dan sedang siap dapat ledak momentum nya,2025-10-31,positif
motor gw juga kena kocak,2025-10-31,negatif
waktu gua kerja di bengkel,2025-10-31,netral
lumayan launch kontrol alami brebet,2025-10-31,negatif
siap ada berita viral alih isu,2025-10-31,negatif
lahhh motor juga,2025-10-31,negatif
sama bang motor saya juga rebet,2025-10-31,negatif
woy laahh motor gua skrg,2025-10-31,negatif
yang sudah di oplos plat merah pertamax oplos pertalite oplos tinggal yang lain di tunggu gebrak beliau,2025-11-05,negatif
pasti nontonya jumat siang,2025-10-31,netral
gw korban jg,2025-10-31,negatif
bjir gw kira rencana nyata udah dilakuim,2025-10-31,negatif
ide bagus sih dari pada nyebar paku di jalan wkwkwk,2025-11-02,positif
untung gw ngisi pertamax mulu,2025-10-31,positif
kembali shell kami,2025-10-31,negatif
capee bgt capeee,2025-11-03,negatif
kmrn motor jg brebetmana pas di tanjak,2025-11-02,negatif
hadir dari diri jatimkorban mbrebet,2025-11-07,negatif
saya malem isi pertalite pagi pas di pake motor rebet padahal belum gk ada tanda rusa,2025-11-06,negatif
jadi sama nih motor sy dan teman sy sama brebbet telah isi pertalitedan efek ke mesin jugaharusnya langsung jreng dan lancarskrg mlempem,2025-11-05,negatif
pntes oi mtor gw sering rusak skarang,2025-11-04,negatif
aq dr pertma ad pertalite kluar udh jarng make krn pmbkarannya susah lengket sperti karet mau heran protes nanyain sendiri tp kn ini indo jd tunggu publik aj kek skrang,2025-11-07,negatif
pantes mtor gue gaenak bngettsoalnya suka isi bensin sana,2025-11-04,negatif
mangkane sepeda mbrebet kabehwong cilik rah iso komplain,2025-11-04,negatif
saya beli gas lpg yg kilo warna pinkbaru hari sudah mati padahal masih berat isi masih banyak tapi dak bisa di pakai lagiapa mungkin sperti ini,2025-11-03,negatif
aku ngisi pertalit di pom simo hari senin smpe sekarang aman gess,2025-10-31,positif
kak motor juga kena,2025-10-31,negatif
halah masio ngunu yo gak kapok tuku nk pertamina,2025-11-04,netral
akibat bijak yg bukan ahli di bidang rakyat melarat,2025-11-04,negatif
dapat salam dari mamah aku,2025-11-02,netral
ih mba sama bngt sumpah pdhl ngisinya dipom pertamina nya langsung lohtetep aja mes jd rusak brebet gitumana kilang minyak pertamina nya deket dr rumah lg,2025-10-31,negatif
beli bensin belum ada meter dah mati akhir kena jt buat benerin kira aku yang rusakin nyata seluruh indonesia raya begitu semua ya allah mana dah atu nya,2025-11-01,negatif
makin kesini emg makin kesana rakyat saat ini sudah gak percaya pertamina,2025-11-03,negatif
uda waktu rakyat gerakbertahun tahun bodoh pertamina gedung pertamina sak direktur,2025-11-09,negatif
semngat mbak ganti suzuki aman sentosa soale wis support e,2025-11-01,positif
jangan motor greget gra ini pdhl tiap isi pertamax,2025-10-31,negatif
astrea ku yang dari dulu jarang rusak pun sekali rusak busi nya yang kena karena rebet,2025-11-02,negatif
beat ku cakut ulan mlebu bengkel yoan mbak wing entek k kudu nang,2025-10-31,negatif
prabowo ngerti ora ikinek ngerti ko neng ae,2025-11-01,negatif
woe iya gue abis benerin gegara brebet kena pertalite,2025-10-31,negatif
aku lihat ada spbu warna kuning kira itu bagus nga yah aku mau alih sm itu aja deh,2025-11-01,netral
wes nng akr ae luwek sip,2025-11-05,positif
numpak sepeda ae bahan bakar e soto lamongan sak es teh e timbang gawe tuku bensin gak jelas kualitas e,2025-11-04,negatif
pinternya mbak bisa ndorong teman pakai sepeda motor moga sahabat tetap tulus sampai akhir hayat moga soal bbm ini cepat selesai,2025-11-02,positif
bahlil memang menteri yang patut kasih anugerah nobel tinggi dan masuk dalam guiness of record,2025-11-01,positif
kayak bahlil ken seperti sahroni part,2025-11-01,netral
mbak motor ae mbrebettt,2025-11-01,negatif
semua ini gara bahlul,2025-11-03,negatif
alhamdulillah mio ku isi turbo beat karo scoopy isi pertamax supra isi perlalite aman kabeh,2025-11-02,positif
golek duit angel soyo angel perkoro bensin,2025-11-02,negatif
make pertamax alhamdulillah aman aja,2025-11-01,positif
rim apa kak nama belakang ku rim juga wkwkwk,2025-11-02,netral
coba di daerah ada pom bensin selain pertamina gak bakal aku isi pertamina lg kapok ga selesai motor rusak garagara bensine,2025-10-31,negatif
respect crwek bisa step motor,2025-11-01,positif
bahenol bahlil love ethanol,2025-11-02,positif
bang kenapa vt yg bahasa portugis akan jadi kurikulum privat bang,2025-10-31,netral
bahlil kapan lengser sih astaga,2025-11-03,negatif
ulah bahlil,2025-11-02,negatif
bahenol bahlil etanol,2025-11-01,netral
yg salah motor gk sesuai spec bahlil,2025-11-01,negatif
bahlil an,2025-10-31,netral
brebet kabeh bos,2025-11-02,negatif
benar bahlil bener karena brazil argentina lain nya pake etanol tp yg salah itu mesin motor warga indonesia gak kuat pake itu kyk paksa kan wkwk,2025-11-02,negatif
salam seperbrebetan,2025-11-03,negatif
mbrebet kok sak indonesia luucuu lucuuu,2025-11-03,negatif
pecat si balik atau bahlul itu,2025-11-04,negatif
jare kancaku gdk etanol lk nk kota ku malah banyu i yok opo iki rek seng penere,2025-11-06,negatif
hasil ilmu baru dari bh,2025-11-02,netral
subianto,2025-10-31,netral
bahkan org bengkel yg benar jd ciprat krna byk motor masuk bengkel saja salah rusa krna ethanol loh,2025-11-03,negatif
cobot bahlil pak prabowo subianto,2025-11-01,negatif
panyesan ngadat motor ku,2025-11-03,negatif
bahlil b ya apa,2025-11-01,netral
prabowo pura pura gk lihat dan gk dengar,2025-11-03,negatif
