text_clean_joined,sentiment_gemini
mosok y aman sepeda listrik sak iki ngisi bensin ae ya jaajahtinggal ndek konoha tidak nyaaman y rakyat derita kagak bayangin kasi motor jadul gojek gojek,negatif
pertamina sakjane isok kerja sing bener tidak sehhhh,negatif
iki sue indonesia lomba dorong motor,negatif
iki kyake perang dagang pertamina swasta antek swasta kerja pertamina mudah mengsabotase,negatif
gitu pegawai pertamina motor kena gas,negatif
mbak ganti pakek indomobil kota ku losss tidak rewel udah bengkel ya kak kuras pertalite trus bawa bahan bakar pertamina bengkel langsung isi ku abis bengkel pertalite aja brebet tidak parah,negatif
beat street suami brebet abis beli bensin apbu arjuno,negatif
gua save vidionyabiar tembus lidi,netral
andal busi,positif
rakyat terzolimin bahlil jajar bijak bbm oplos etanol moga azab dunia akhirat,negatif
kerja bahlil murid mulyono rakyat pindah motor listrik kaya usah baterai opung mulyonoi,negatif
winginane onok sing komen jare bojone meh tabrak truk goro goro macet nde dal ancene pertamina dlogokkkkk,negatif
yaampun kasi sampe gajadi kuliahbayangkan kl motor nyari nafkah,negatif
pokoke sheell bukaen onokno bbm e perintah ikiloh duuhhhh,negatif
gin kak maksud motor tap bawa bengkel habis rb pdhl gaji bulan tidak,negatif
dibahlulkan negara,negatif
usaha monopoli rugi kelola banyak korup,negatif
uu lindung konsumen tidak laku pertamina krna pertamina kualitas baik,positif
indonesia adaada aja tidak kasihan rakyat,negatif
pertamina gin ngaku rugi mulu,negatif
otw pertamax,netral
bekas bagi brebetnya,negatif
salah yaa,negatif
indo normal ya allah,negatif
bahlil rencana bengkel langgan ekonomi maju bahlil pahlawan hytam,negatif
motor,netral
pertamax gmn,netral
motor honda ya,netral
gua aja ngalamin,negatif
jatim problematik ya,negatif
motor gua nggk pertalite skrng,negatif
kena btw cwo hyper,netral
motor kena anjj,negatif
pertamax bnag,netral
dipertamina beli bensin dmna ya,netral
motor abis jatoh kmren rusak mesin salah trus servis abis normal minggu abis tu brebet bingung prasaan aja hari pikir bom sempet bengkel jangan gegara pertalite ya jir minggu abis service enak bat pdhl moto takut lokasi mojokerto jatim,negatif
motor doang,netral
pertamax woi vario gua brebet,negatif
laku,positif
habis jadi pikir cari harga motor listrik,netral
bukan salah pom menjualkebijakan tri bilang pakai etanol,netral
rumah bahlil rumah sahroni part,netral
pantes isi bbm tidak pake botol takut tau,negatif
laku libur,positif
pk presiden tolong segra copot bahlil,negatif
step by step wd jt bilek,netral
cung motor brebet,negatif
kudeta mafia migas atur rencana jatuh perintah,negatif
prabowo ayo copot bahlil dipertahanindenger keluh rakyat mohon prabowo,negatif
pertamina tidak kasih kualitas mending ttup aja biar shell bp vivo kawan ambil alihangry,negatif
bawa rumah dirut pertamina bahlil,negatif
tangkap si bahlil,negatif
bahlil b,netral
pergi aja izin usaha pertamina nakal kasi denda,negatif
kerja si bahlil,netral
pantas motor ku brebet trus bakar tidak bagus kasi uda tidak punyak kadang beli bensin aja susah motor rusak kerja beraktipitas tolong kasihan kmi orng orang orang orang rakus akn uang,negatif
mangkanya mobil motor mogok rusak,negatif
trus gmna solusi jangan sidak aja apak motor uda ngadat,negatif
rezeki habis cair jt,netral
motor temen rebet karna ulah bahlil,negatif
bahlil oh bahlihmerusak rakyat,negatif
ganti menterinyagak beres,negatif
usut tuntas papenjarakan penljabat saran campur etanol,negatif
iya motor hbs isi pertalite mlh ngeden gas berat,negatif
bensin oplos lapor tahun pertamina untung gede ya heran rugi trilyunan mirissssss,negatif
jangan salah spbu salah bijak,negatif
bahlil b,netral
sepeda sy brebet korban pertalite pom bensin dinding br kemarin bengkel sih injektor sm ganti busi isi pertalite persis ituada air mending beli ecer botol lgsg kl mmg bensin oplos,negatif
bahlil bahli,netral
curiga komplot bahlil tukang bengkel,negatif
untung tidak pakai motor,positif
gara bahlil tok kok,negatif
aampun dech ya indonesia normal aja,negatif
tukang bengkelgacor kang,positif
pertamina tanggung,negatif
bnr anjir rusak motor cowok gua,negatif
tukang bengkel cuan nihhhh,positif
kebnyakan motor matic merk honda,netral
bang bahas bobibos karya ank bangsa potensi saing pertamina,netral
motor fu rongsok bagus ja minus pertalite,negatif
iya njr gua pertalite gas renti,negatif
beli pertamax ngebrebet,negatif
pake pertamax sprti bukan pertalite,positif
rb layang,netral
air stengah,negatif
motor gua kena,negatif
kacau,negatif
mending beli bensin ecer bang bagus liat bensin,positif
turbo kena,negatif
pantesan pertamax gua rame,positif
mabok pertaliteetanol,negatif
habis rb baik motor pcx karna bensin pertalite,negatif
ih tidak motor dipinjemin supra lawas pol kantor suami anter jemput anak skolah td aman motor tidak rewel blass minggu isi full pertalite trs mbrebet sungkan sm orang kantor pinjem trus rusak tidak lucu ya huhuhu,negatif
perintah diam statemen tindak gaduh rakyat,negatif
spedaku mek ganti mbek bjoku dipakek kerja suamikumakeknya ganti bnyak mslah mtor gin plis mtor cuman jangan slah korban,negatif
motor abis tetep aja brebet full ganti sistem injeksi hadehh,negatif
jare pertamina seng salah busi mu mbak tuntuten wae,negatif
hahaha rugi kaya,negatif
sakjane subsidi iku gawe opo lek kualitas pertamina nyusahno luweh apik konsumen ben milih bensin subsidi bensin subsidi,negatif
bagus korban pertamina ngajuin gugat adil tuntut gede kasih bbm busuuk terusterusan,negatif
podo mbak bedane motor varioku jik iso mlaku suorone maleh kemrotok ape ndandakne jik akeh butuhe laine iki saiki motor iso mlaku,negatif
td pagi habis servis gara gara korban pertalite motor belah belah kasus,negatif
shell jual bensin,netral
sekolah tidak sekolah kerja lambat kerja minggu gaji fuull kurang karna potong pertaminajiancoooooook,negatif
ulah bahenol kanpreet,netral
pertamina kualitas jelek make merk laen bahan baku sulit,negatif
pertamina anjj,negatif
ngisi pertamax full tank brebet mbaa,negatif
tanggung bukan pertamina bahlil nyuruh pertalite pertamax campur etanol bagus lapang,netral
ayo rin semangatt mbatin rini matane loh cog pikir gampang nyetut peda jajal ganti sing nyetut piye,negatif
gaji jabat milliaran layan zonk selamat negara konoha,negatif
kepingin untung gede pertamina korbane konsumen men,negatif
si bahlil bengkel motor pd laris tuh heran bensin oplos pertamina rugi mulu rakyat pakai air y untung tu pertamina,negatif
beat skrg bukan uda pake pertamax ya coba cek stnk ka,netral
panen duso opo pahala nek ngene iki pertamina petinggi e,negatif
kak rencana beli motor gegara brita bobrok pertamina mikir beli,negatif
hayolooo takut banget tidak pas dipake motor malem cewek lagiii mati tengah jalan,negatif
mbak ihh kemarin brebet mati pdhl nmaxku aja mati kali tengah bunderan sier,negatif
td malem ngisi pertamax scoopy ku brebet parahhh,negatif
pertamina suruh tanggung jangan maaf aja biaya kerusakaan nanggung,negatif
podo ae kabeh laa mosok ben ngisi nde pom mesti brebet mung wedi ku mati nde dal pas rame lak sido kenek karo seng bur bos,negatif
spbu kab malang jl raya bululawang no spbu spbu jl raya no spbu ukur kandung air tidak kandung etanol sampek tanggal nop tidak keluh konsumen pertalite pertamax pas ukurane selamat isi spbu,positif
pertalite air lumpur pantes motor brebet,negatif
si ngisi bensin abs ngisi bensin motor brebet mogok penasaran mogok apa penasaran pindah bensin motor botol aqua info,negatif
untung campur campur,positif
akal menghapur pertalite pindah pertamax bnyk untung bensin hapus,positif
bahlilnya kasi kerja ngejalanin tugass bahlilnya aja duel in,negatif
kena salah pas motor brebet jalan diri pas pujon motor brebet alhasil suami jejek diri iya brebet deket bengkel jadi pujon pas alas gaada bengkel yaallah yaallah,negatif
isi pertamax brebeettt anjir iso pertamax turbo lumayan tidak brebet tidak lg mesin apakabar isi turbo trs,negatif
cung user pertamax brebetboros,negatif
mana banyak ya isi bbm spbu nama pertamina ya kali isiin bbm spbu kenang angin ketimbang ngisi bbm ya,negatif
vidio cctv pertamina tu,netral
pokok pertamina rusak dicampor dikurangikita ngisi lter isi aja,negatif
beli motor barusetelah isi spbu skrg mbrebet tidak jln,negatif
mingkin kacau aja pom leliti mah bany gk jujur pom mah,negatif
bahlil miskroscop,netral
cek aja cctv spbu pas bapak ngisi kmarin sore,netral
pertamax daerah aman sharing pake pertamax takut bjirr,negatif
oalah kelen sibuk pertamina datau salah tu busi,negatif
parahhh pertamina jangan kayak gitu rakyat konsumen kecewa berat,negatif
pergi perijinan spbu,netral
pantesan motor brebet starter tidak servis,negatif
beli byd aja ama tidak isi bensin,negatif
presiden ayo maen sosmed taw keluh kesah rakyat,negatif
sepdaku brebet niat tuku bensin mlah ngerusak sepeda,negatif
tidak tuju campur etanol jadi rekayasa mohon maaf pikir negatif,negatif
tuju masyarakan pindah pertamax krn dlu dengar dri orang pertamina pertalite bklan tidak da,negatif
pantesan beli botol tidak,netral
beli mode listrik,positif
aduh kembali shell dn bp,negatif
masak presiden tidak liat gin cuman diam,negatif
ide bensin campur etanol utk mati spbu,negatif
asli etanol tuh amanaman aja bensin kualitas standar internasional thailand amerika pakek etanol amanama,positif
sidaknya bensin mesin ambil test langsung,netral
bilah masij ngisi baju putih ngotot lihat rekam cctv,netral
beli ecer tidak campur botol,netral
kerjo sampek telat sepda berebeetttt,negatif
bojonegoro motor podo mogok,negatif
parah korban bnyk banget,negatif
tim bensin warung madura nyimak,netral
rasa motor brebet isi pertamax dorong motor hujan,negatif
yaallah bang jnganan pertalite turbo aja motor mati malem kaga buka,negatif
tangkap riza chalid,negatif
gua korban vario gen pdhal,negatif
besok berita bahlul duga korupsi xx triliun,negatif
babahlil,negatif
ganti presiden,negatif
pantes motor kayak gitu,negatif
pantau prayogo meng akuisisi spbu swasta ledak momentum,positif
motor kena kocak,negatif
gua kerja bengkel,netral
lumayan launch kontrol alami brebet,netral
siap berita viral alih isu,negatif
lahhh motor,negatif
bang motor rebet,negatif
woy laahh motor gua skrg,negatif
oplos plat merah pertamax oplos pertalite oplos tinggal tunggu gebrak beliau,negatif
nontonya jumat siang,netral
korban,negatif
bjir rencana dilakuim,negatif
ide bagus nyebar paku jalan,negatif
untung ngisi pertamax mulu,positif
kembali shell,negatif
capee capeee,negatif
kemarin motor brebetmana pas tanjak,negatif
hadir diri jatimkorban mbrebet,negatif
malem isi pertalite pagi pas pake motor rebet tidak tanda rusa,negatif
jadi motor sy teman sy brebbet isi pertalitedan efek mesin jugaharusnya langsung jreng lancarskrg mlempem,negatif
pntes oi mtor rusak skarang,negatif
pertma ad pertalite kluar jarng make krn pmbkarannya susah lengket sperti karet heran protes nanyain kn indo tunggu publik aj kek skrang,negatif
pantes mtor gaenak bngettsoalnya suka isi bensin sana,negatif
mangkane sepeda mbrebet kabehwong cilik rah iso komplain,negatif
beli gas lpg kilo warna pinkbaru mati berat isi dak pakai lagiapa sperti,negatif
ngisi pertalit pom simo senin smpe aman gess,positif
kak motor kena,netral
halah masio ngunu yo tidak kapok tuku nk pertamina,netral
akibat bijak bukan ahli bidang rakyat melarat,negatif
salam mamah,netral
ih mba bngt sumpah pdhl ngisinya dipom pertamina langsung lohtetep aja mes rusak brebet gitumana kilang minyak pertamina deket rumah lg,negatif
beli bensin meter mati kena jt benerin kira rusakin indonesia raya ya allah dah atu nya,negatif
kesini kesana rakyat tidak percaya pertamina,negatif
uda rakyat gerakbertahun bodoh pertamina gedung pertamina sak direktur,negatif
semngat mbak ganti suzuki aman sentosa soale wis support e,positif
jangan motor greget gra pdhl isi pertamax,negatif
astrea ku jarang rusak rusak busi kena rebet,positif
beat ku cakut ulan mlebu bengkel yoan mbak wing entek kudu nang,negatif
prabowo ngerti ora ikinek ngerti ko neng ae,netral
woe iya abis benerin gegara brebet kena pertalite,negatif
lihat spbu warna kuning bagus nga yah alih sm aja,netral
wes nng akr ae luwek sip,positif
numpak sepeda ae bahan bakar e soto lamongan sak es teh e timbang gawe tuku bensin tidak kualitas e,negatif
pinternya mbak ndorong teman pakai sepeda motor moga sahabat tulus hayat moga bbm cepat selesai,positif
bahlil menteri patut kasih anugerah nobel tinggi masuk guiness of record,positif
kayak bahlil sahroni part,netral
mbak motor ae mbrebettt,negatif
gara bahlul,negatif
alhamdulillah mio ku isi turbo beat karo scoopy isi pertamax supra isi perlalite aman kabeh,positif
golek duit angel soyo angel perkoro bensin,negatif
make pertamax alhamdulillah aman aja,positif
rim kak nama ku rim,netral
coba daerah pom bensin pertamina tidak isi pertamina lg kapok tidak selesai motor rusak garagara bensine,negatif
respect crwek step motor,positif
bahenol bahlil love ethanol,positif
bang vt bahasa portugis kurikulum privat bang,netral
bahlil lengser astaga,negatif
ulah bahlil,negatif
bahenol bahlil etanol,netral
salah motor tidak sesuai spec bahlil,negatif
bahlil an,netral
brebet kabeh bos,negatif
bahlil bener brazil argentina pake etanol salah mesin motor warga indonesia tidak kuat pake kyk paksa,negatif
salam seperbrebetan,negatif
mbrebet sak indonesia luucuu lucuuu,negatif
pecat si bahlul,negatif
jare kancaku gdk etanol lk nk kota ku banyu i yok opo iki rek seng penere,netral
hasil ilmu baru bh,netral
subianto,netral
orang bengkel ciprat krna byk motor masuk bengkel salah rusa krna ethanol loh,netral
cobot bahlil prabowo subianto,negatif
panyesan ngadat motor ku,negatif
bahlil b ya,netral
prabowo pura pura tidak tidak dengar,negatif
sengaja kasih air sedikittp air karna etanol pertalite larut satu air,netral
pantess motor mati bae jalan brebet pulak,negatif
kemarin sore beli langsung cekkk lek wing sore samean campuro dewe mosok ero seng sportif lek e ancen komplain,netral
jual ecer larang kacau kacau,negatif
rakyat sabar ya tidak rumah bahlil,negatif
kek pertamax campur etanol motor brebetjd susah hidup,negatif
rugi rakyat,negatif
pertamina sepeda motor ku gara isi pertalite yo brebet pakkkk pokok ganteni gawe nang bengkelll titikkkkk rumah pandaan pasuruan,negatif
guna sidak smua emang setting bgituuu heran,negatif
maaf dek pertamina hnya tidak tanggung,negatif
ya allah podo mbak wayahe nyusul anak sekolah mogok ya allah bawa bocil bel i ambek truk mobil wes gupuh kabeh bar isi pertamax iki,negatif
pancen jahat sing mbarakno rugi iku,negatif
anjaayy bu chooyy,negatif
habis jt gara gara,negatif
solusi isi bensin madura karna botol keliatann anti oplos,positif
hikmah bengkel,positif
motor ku oi gmna,negatif
pabrik busi ketawa liyat,negatif
bangga wni,positif
parah,negatif
anjir mesin motor rusak,negatif
nuntut pertamina tidak,negatif
bengkelalamak duit,negatif
ih motor gua gitu,negatif
tuntut tidak si,negatif
mekanik neng sma putus tri tpi nyindir,negatif
bahll anj emang nyari duit susah bkin susah karna service mlu,negatif
brapa,netral
jual bensin pertamina,netral
bensin oplos tetep aja ngaku rugi,negatif
sebab motor kemaren,netral
tu pas berangkat sekolah pas beli barang,netral
motor ayah ku kena gotong gerbang rumah sampe rumah,negatif
nga percaya pertamina ngisi vivo ah untung bensin swasta deket rumah,negatif
nontonnya jumat siang,netral
sebenernya bukan oplos air etanol minus serap air negara lembab bensin campur air,negatif
pake pertamax brebet motor dua brebet,negatif
motor kena,negatif
motor yo ngono mbrebet,negatif
lgsg pertamina aja mba ganti,negatif
spbu isi pertalite,netral
gua uda x mogok isi pertalitepertamina tidak beres uda korupsioplosansekarang mogok masal,negatif
la ngerti motor sng sijine rusak goro pertamina nyapo motor liyane pancet mbo isi ndk pertamina nem painem piye to,negatif
koyoke emang awak dewe dikongkon mlaku mbak kurang polusi lek pedae brebet kabeh isi pertalite or pertamax podo ae,negatif
korban jahat tidak laku tetap,negatif
tebakmesti step karo sikil yoh,negatif
alhamdulillah pilih gua bener ambil pertalite,positif
lek sing domisili surabaya info bp ready jl pemuda,netral
mbak rekomendasi aja lek motor seng tangguh tahan banting pake motor bebek aja motor kek temennya mbak jarang kena mogok kek gin,positif
podoq wing y mogok nyurung golek bengkel salah gowo ank cilik pis,negatif
wes iseni extrajoss ae spdaku,negatif
pertamina ancen guwoblok busi motor e bojoq yo puersis ngono iku mari kene pertalite,negatif
check turbo pertamina mampang motor berat beda turbo kuningan rasuna said,negatif
kali pertamina resah masyarakat dengan pertamina,negatif
beatku ya brebet,negatif
pertamina lg sibuk hitung rugi,netral
wes bner numpak ontel karo dokar ae kyok jman penjahahan itung nostalgia,negatif
mba pake stylo isi mesti pertamax sumpah brebeeett betty mosok kudu anak suroboyo gae tuku bp,negatif
iki pertamina tidak speakup ta,negatif
sepeda isi solar kak saking jengkel e,negatif
heee sumpah scoopy ku yo brebet moro mati nang embong raya beli akeh yo untung mobil mburiku tidak nabrak sumpah iki wes bahaya rek,negatif
trs iki isi opo rek bensin e,negatif
motor kmaren kenaa trs kuras bensin bening busi rusak,negatif
jangan beli pertamina merr bp gasalah superindo,negatif
motor brebet,negatif
mangkane motor anak nyandet,negatif
beliny kemaren soreko ngantri,netral
tutup aja pertamina ganti shell aja,negatif
sepeda kakak ipar mati gabisa hidup garagara bensin,negatif
mangkane brebet peda ngisi pertamax,negatif
bayar bensin aja oploss gratiss hahahahaha,negatif
anjg beli motor smpe skrng urus rw rawat rutin isi minyak full kmaren lgsung mogok jalan umur motor mogok,negatif
motor ku legrekkk gara samean,negatif
motor brebet rek,negatif
isi pertamax turbo kemarin bongkar air,negatif
beli ecer toko madura asli murni tidak oplos karna kliatan botol full jarang pertamax cm pertalite,positif
wahhhh,netral
motor rusak gara campur pertalite metanol tolong jgan susah rakyat,negatif
spbu turun harga pertalite campur air,negatif
pertamina byk tangkap gila main masyarakat korban woooooiiiiii,negatif
miris negri inisgtunyh cari duit,negatif
partalite bukan bensin,negatif
motor gt habis isi pom jatak meter mogok mati dibaw akebengkel kuras isi separoh air,negatif
tangki spbu kuras ganti karna disidak speda motor bohong iya,negatif
piralkan,netral
gua pindah pertamax normal aje hdh buang buang duit doang,negatif
bener guys motor qw hbis mbrebet pdhal brp thn pk pertalite tidak ad,negatif
aki pertaminakita cekelu emang lokasi,netral
pantesan beli botol tidak tkut tau ad air,negatif
pom malang selatan sepeda mogok,negatif
minggu kemaren ngisi ecer toko liat sepi berat stok aman aja isi pertamax langsung motor kemaren brebet jalan mati klesek gabisa kerja minnnnn,negatif
kuras tetep aja gas tidak jalan injeksi ikut rusak,negatif
motor maticku mogok,negatif
sepada mogok,negatif
rusak mesin spd mtr tolong tangkap orang campur etanol,negatif
spbu negeri konoha ulah,negatif
gara gara bensin speda brebet,negatif
mboh wes ruwet konoha,negatif
eeem alas ecer tutup acara pemerintahbiar tidak ketauancakeeep,negatif
woiii tidak tauu prosedur sidakk kahh,negatif
ya nak,netral
bang bahas mbg collab ama prindavan,netral
rakyat sabar hadap jabat indonesia,negatif
jir bg mtr gua brebet,negatif
bilang politik tidak ngaruh hidup seharihari ngumpet dimanaliat bijak org dolok kasih jabat,negatif
shell aman ta rek,netral
podo woi scoopy anyar kaet jpuk isi pertalite brebettpi mboh lek pertamax,negatif
habis brp rek bengkel bongkar gituu,netral
guys pakai pertamax aman kah,netral
periksa pom bensin,netral
pertamax gin tidak yaa,netral
bang bahas museum maling,netral
coba bahas king evos is backkkkkk,positif
when dunia full of korupsi,negatif
indo serba mahaltapi kualitas beda banget langit bumi,negatif
bengkel berterimakasih bahlil,negatif
motor brebet langsung sedot pertalite isi pertamax alhamdulillah aman tetep aja bahlil b,negatif
tidak nakal works enggak pikir aja isi fulltank bawa kuras bensin simpen ember diendapin pisah bensin bahan oplos habis pindahin lg bensin dalam tangki,negatif
kang bengkel,netral
motor hasil utang eh aja rusak gara isi pertalite,negatif
sabar ye saudar ku indo salam malaysian,positif
saham bengkel,netral
hati jendral,netral
pantesan motor suka mati jalan,negatif
aduh kakak kelas ku pkl sibuk,netral
tukang bengkel laris manis,positif
pertamina sby,netral
scoppy dar beli pertamax trs,netral
podoo mbak beat street ku yo kenek jancok i bahlil,negatif
yo dadi gaisok pp beatku gabisa nyala,negatif
piyemosok iseh arep mileh bahlil partaine maneh,negatif
erin mesti spek balap iso nyurong soale step motor,netral
podo mbk motor brebet,negatif
maksute e opo pertamina lak koyok ngene seng gae susah opo n tidak onok tindak opo rasane adem ayem ae enak seng pertamina tetep kipas duit lha susah,negatif
motor bengkel kak,negatif
pisah etanol pertalite,netral
mbak isi turbo aj mbak beat pake pertalite tidak enak pakai pertamax tidak enak pakai turbo enak mbak,negatif
wees mbuh pertaminakatanya rugi tuku bayar cashmalah pordak eee oplos wesss mbuh negoro ikipak prabowo piye mentrine iki esdm,negatif
manusia klereng tanggung pertamina kak,negatif
duhh akuu gaene pom mobil aman sehh moga aman sak rusa,positif
mba podo wes dino mslhe gae budal moleh kerjo,negatif
shell banyak cabang,netral
beli seblak ganti oli opo sehh,negatif
sepeda e ayah ku yo gawe pertamax tetep macet,negatif
monggo kait pertamina tanggap keluh masyarakat kait pertalite,negatif
mending shell aja,positif
fazzio ku isi pertalite ibuk kemarin brebet bet duh,negatif
iyo mbak moleh kerjo tuku pertalite brebet besok e moleh kerjo tukuno pertamax astaghfirullah mati gaiso dstater gaes nuntun teko pom tekan omah adoh kesel moleh kerjo iki gojek karo ngebis trus kerjo e sepeda motor melbu bengkel jare rusak busi e smpek an,negatif
scoopy yo dadi korbane pertalite ngisi pertalite rb kenek servis rb,negatif
samaa kak motor hbs isi pertalite brebet trs ganti pertamax baik huhu,negatif
untung deket rumah pom mobil beroprasi tidak pertmn,positif
nek gawe pertamax yo tidak cocok polane sepeda tenaga karbu setel yo enak,negatif
betull bgtt beatbstreet yo mbrebet,negatif
drpd pertamina gaji komisaris miliar tidak lbhbaik ganti baik motor rusak krn bbm,negatif
tangki ku karat gtu yamasak bensin masuk air ya,negatif
bahlil b apaa,netral
pantesan motor tidak tahan cepat rusak sebab,negatif
pasuruan brebet,negatif
bahlil lihat tuh susah rakyat paham tidak,negatif
solar campur air mobil teman kena,negatif
prabowo tidur viral bangun,netral
pantesan motor masyarakat rusak,negatif
copot tri anak mogok motor,negatif
aja motor rusak injesi trusd,negatif
mendingkadang air campur warna,negatif
gus iqdam bahlil orang,netral
motor kemarin brebet habis tangki dibersihin tukang bengkel aman aja,positif
pertalit motor brebet,negatif
byk korban gaknusah ngelak lg,negatif
motor rusak bengkel banjir rizki,negatif
wilayah tuban bojonegoro lamongn pakbnyk sepdh motor pd rusak bekebet hbs isi bensin,negatif
pertamax antri,netral
beneran daerah gresik motor brebet mogok isi pertalite,negatif
gara pertalit sepeda brebet,negatif
tidak tindak ya ulang trs jadi spt tugas intelejen ngapain aja ya,negatif
pantesan motor hbs servis lancar trs stlh hr isi bensin ecer aman lnjut lg hr isi pom brebet,negatif
tetep korban rakyat kecilkasihan korbanapa tidak takut kualat yach,negatif
pertamina banget tinggal petronas,netral
etanol kah campur,netral
copot aja tuh si bahlil nyusahin rusak woy mobill,negatif
